지역,가맹점명,분류,주소
대구 ,달성문화센터(달성군시설관리공단),공연,대구광역시 달성군 다사읍 대실역북로2길 188 달성문화센터 
대구 ,장원도서,도서,대구 달성군 다사읍 죽곡리 15 
대구 ,명작사진관,미술,대구 달성군 화원읍 비슬로 2621 
대구 ,루시포토,미술,대구 달성군 화원읍 명곡리 110-2 101호 
대구 ,야후서적,도서,대구 달성군 화원읍 명천로 216 
대구 ,장원책마트,도서,대구광역시 수성구  달구벌대로 2596 장원책마트
대구 ,신데렐라서점,도서,대구 달서구 비슬로 2696 (대곡동) 
대구 ,동아사진관,미술,대구 달성군 화원읍 천내리 100-2 
대구 ,비젼투어주식회사,여행사,대구 달성군 논공읍 노이길 202 
대구 ,경대사진관,미술,"대구 동구  경대로 40,(신암1동) "
대구 ,경성관광주식회사,여행사,대구 동구  화랑로 421 (방촌동) 
대구 ,호텔스테이22,숙박,대구 동구 동부로22길 37 (신천동) 
대전 ,캐슬모텔,숙박,대전 동구 용전동 동서대로1705번길 59 
대전 ,굿타임모텔,숙박,대전 동구 용전동67-5 
대전 ,모텔폴라리스,숙박,대전 동구 용전동76-2 
대전 ,만년장여관,숙박,대전 동구 용전동78-3 
대전 ,국민서적,도서,대전 동구 원동  42-1 중앙시장 메가프라자 A-17 
대전 ,샛별서림,도서,대전 동구 자양동 193-11 
대전 ,우송서점,도서,대전 동구 자양동237-6 
대전 ,(주)롯데렌터카 대전역지점,교통수단,대전 동구 역전1길 41 1층  
대전 ,기독교백화점,도서,대전 동구 중동  21-6 
대전 ,보문서점(붓다존),도서,대전 동구 중동  27-7 
대전 ,해풍사,도서,대전 동구 중동  317 역전지하상가가6호 
대전 ,홍명코닥칼라,미술,대전 동구 중동 60-10 
대전 ,홍명서적,도서,대전 동구 중동 중앙로 192-2   금성당 컬트2층 (중동) 
대전 ,대전보건대학교 구내서점,도서,대전 동구 충정로 21 
대전 ,아기동풀 스튜디오,미술,대전 서구 가수원동 774-14 
부산 ,부경대 구내서점(용당),도서,부산 남구 신선로 365부경대용당캠퍼스 
부산 ,정보대학구내서점,도서,부산 남구 용당동  535번지 
부산 ,스튜디오아이작,미술,부산 남구 용호1동 395-22 2층 
부산 ,갈먹,미술,부산광역시 남구  우암로 218-2 우리약국 
부산 ,성지서점,도서,부산광역시 남구  우암로 150-2 
부산 ,주식회사 대영온천,관광지,부산 남구 황령대로 492번길 10(대연동) 
부산 ,오리온여행(주),여행사,부산광역시 동구  범일로 113 3층
부산 ,영모텔,숙박,부산 동구 범일동  147-3 
부산 ,신라액자,미술,부산 동구 범일동  830-188 길정빌딩1층 
부산 ,조광포토피아,미술,부산 동구 범일동 830-269 3층 
광주 ,<주>신화여행사,여행사,광주 동구 금남로 250-8 (금남로1가) 
광주 ,(주)광남마이스투어어,여행사,광주 북구 금남로 39 
광주 ,광주선경미디어상사,음악,광주 동구 금남로5가1-5 전자랜드 119호 
광주 ,명음사,음악,광주 동구 남동  90-2 
광주 ,(주)탑외국어사,도서,광주 동구 대의동  78-2 
광주 ,수도악기사,음악,광주 동구 대의동 40-2 
광주 ,하루모텔,숙박,광주 동구 대인동 동계천로6번길 9 
광주 ,소리마을,음악,광주 동구 독립로264번길 25 반도상가 142호~145호 (대인동) 
광주 ,신시瓦(신시와),숙박,광주 동구 동계천로 81-3 (동명동) 
광주 ,아름모텔,숙박,광주 동구 동계천로6번길 14 (대인동) 
광주 ,탑모텔,숙박,광주 동구 동계천로6번길 8 (대인동) 
광주 ,록키모텔,숙박,광주 동구 무등로307번길 6-6 (계림동) 
광주 ,금수장호텔,숙박,광주 동구 무등로321번길 2 (계림동) 
광주 ,진도표구사,미술,광주 동구 문화전당로 14 (남동) 
광주 ,민속모텔,숙박,광주 동구 문화전당로23번길 23 (금동) 
광주 ,(주)광주서울항공여행사,여행사,광주 동구 불로동  113-1번지 
대구 ,오션모텔,숙박,대구 동구 동부로24길 41 (신천4동) 
대구 ,황제모텔,숙박,대구 동구 동부로26길 25 (신천동) 
대구 ,서울모텔,숙박,대구 동구 동부로28길 15 (신천동) 
대구 ,잉카모텔,숙박,대구 동구 동부로30길 18 (신천동) 
대구 ,동양장여관,숙박,대구 동구 동부로30길 6 (신천동) 
대구 ,(주) 영호렌트카,교통수단,대구 동구 동부로3길 38 (신천동) 
대구 ,힐모텔,숙박,대구 동구 동촌로11길 5-41 (입석동) 
대구 ,주식회사한누리렌트카,교통수단,대구 동구 동촌로 321-4 
대구 ,팔공포토,미술,대구 동구 불로동 443-3 
대구 ,큰솔문구,도서,대구광역시 동구  반야월로 50 용계동 732
대구 ,반월사진관,미술,대구 동구 율하동로 123 
대구 ,동대구역,교통수단,대구 동구 신암4동 294 
대구 ,윈(win)모텔,숙박,대구 동구 신암남로 128 (신암동) 
대구 ,포토인,미술,대구 북구 대학로 80 
대구 ,러브웨이,숙박,대구 동구 신암남로24길 11 (신암동) 
대구 ,두산청구서적,도서,대구 동구 신천동  849-5 두산위브단지내상가 101 
대구 ,새신암서점,도서,대구 동구 아양로39길 29 (신암동) 
대전 ,백운장영관,숙박,대전 서구 가장로 128 
대전 ,열린서점,도서,대전 서구 갈마동  845 
대전 ,경성디지털 칼라,미술,대전 서구 갈마동 1418 1458-1 경성쇼핑 1층 145 
