지역,가맹점명,분류,주소
서울,이문여관,숙박,서울 동대문구 신이문로16길 1(이문동) 
서울,발리,숙박,서울 동대문구 이문로 13 
서울,진학서점,도서,서울특별시 양천구  목동로 177 정동프라자 
서울,유한칼라,미술,서울 양천구 신월 6동 575-30번지  
서울,㈜롯데렌터카 강서예약소,교통수단,서울 양천구 신정동 900-10 목동로데오빌딩 104호 
서울,극단해오름,공연,서울특별시 종로구  창경궁로 260 명륜프라자 지하1층
서울,미송아트홀,공연,서울특별시 종로구  창경궁로29길 25 명륜빌딩 미송아트홀
서울,(주)아트브릿지,공연,서울특별시 종로구  창신길 119 
서울,성내3동 주민자치위원회,문화체험,서울 강동구 강동대로 53길 76 
서울,알지문구서적,도서,서울특별시 강동구  고덕로 87 202호
서울,천호 호텔H,숙박,서울 강동구 구천면로24길 19 
서울,현대서점,도서,서울 강동구 동남로81길 70  (고덕동) 
서울,핫트랙스 강남점,음악,서울 서초구 강남대로 465 교보타워 지하 1층 교보문고 
서울,교보문고 강남점,도서,서울 서초구 강남대로 465 교보타워 지하 1층 교보문고 
서울,길상도예,문화체험,서울특별시 서초구  강남대로39길 15-9 한홍빌딩 1층 101호
서울,비비드아이디,미술,서울 서초구 강남구 신사동 568-5 번지 
서울,신원모텔,숙박,서울 동대문구 장안1동 415~432 430-5 
서울,모텔Q,숙박,서울특별시 동대문구  답십리로67길 2 
서울,에바다기독교백화점 (에바다미디어),도서,서울특별시 성북구  종암로 71 2층
서울,놀숲 고대안암역점,도서,서울 성북구 개운사길 8 (안암동5가) 4층 
서울,길음사진관,미술,서울 성북구 길음1동 1282 삼성래미안2차아파트 2동 103호 
서울,계성문고,도서,서울특별시 성북구  길음로 33 길음뉴타운 래미안8단지 b동 2층 22호
서울,재단법인 세종문화회관 삼청각,공연,서울 성북구 대사관로 3 삼청각 
서울,우리옛돌박물관(우리옛돌문화재단),미술,서울 성북구 대사관로13길 66 
서울,영사진방,미술,서울 성북구 동선동2가 154 
서울,도서총판강북도서,도서,서울 성북구 동선동4가91 
서울,하이컴퍼니,공연,"서울 성북구 동소문로 22길 19, 4층 "
